Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Matt Shoemaker","LAA",2,0,0.5,0,0,0,0,0,0,0,-0.2978040446303031,-0.5416040439865729,0,-100,4776
"Total","Rymer Liriano","CHW",39,0.102564102,0.333333333,0.307692307,0.228571428,0.307692307,0.371428571,0.679120878,0.142857143,0.333333333,3.9814768777971117,-0.7726231096501504,0.29742416663047594,84.83367733919374,4779
"Total","Joe Blanton","WSN",1,1,0,1,0,1,0,1,0,0,0.4359038242388607,0.3140038245607258,0.6929940581321716,337.104035351053,4849
"Total","Jarrod Dyson","ARI",1,0,1,0,0,0,0,0,0,0,-0.15062652843624236,-0.27652652877002837,0,-100,4866
"Total","Carlos Gomez","3 Tms",667,0.076461769,0.28185907,0.271276595,0.238013698,0.321212121,0.424657534,0.745869655,0.186643836,0.304812834,82.76909323079826,2.5197941218161723,0.322798264297572,98.84133247661673,4881
"Total","Giancarlo Stanton","2 Tms",1122,0.103386809,0.286096256,0.361370716,0.261224489,0.34402852,0.526530612,0.870559132,0.265306123,0.308333333,178.06083061192604,43.72403236125084,0.36435439059079444,129.49357595048826,4949
"Total","Ryan Hanigan","COL",76,0.052631578,0.276315789,0.19047619,0.183098591,0.236842105,0.183098591,0.419940696,0,0.26,0.8249014814334708,-8.439498494104782,0.18931060949961345,-5.588265016801774,4952
"Total","Fernando Salas","2 Tms",3,0,0.333333333,0,0.333333333,0.333333333,0.333333333,0.666666666,0,0.5,0.3021743591975906,-0.058525637154605126,0.29222293694814044,84.96207372333357,4971
"Total","Josh Donaldson","3 Tms",1049,0.142993326,0.226882745,0.6302521,0.264937993,0.373689227,0.519729425,0.893418652,0.254791432,0.296979865,179.82211016010936,50.69601057362253,0.37624994512953674,134.31756986365008,5038
"Total","Jefry Marte","LAA",151,0.059602649,0.218543046,0.272727272,0.19117647,0.271523178,0.308823529,0.580346707,0.117647059,0.23,10.804425125370829,-7.197474608768614,0.2604828950585119,61.568212744804484,5107
"Total","Jeurys Familia","NYM",1,0,1,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,5114
"Total","Justin Upton","2 Tms",1139,0.115013169,0.29236172,0.393393393,0.261616161,0.350307287,0.492929292,0.843236579,0.231313131,0.330592105,174.71068050175685,37.50858201294919,0.3579522170336314,126.55028640887014,5222
"Total","Cameron Maybin","5 Tms",723,0.117565698,0.233748271,0.502958579,0.24881141,0.340720221,0.407290015,0.748010236,0.158478605,0.306997742,92.30723002193562,4.5345307180105845,0.3257715031711018,105.01163912112685,5223
"Total","Blake Parker","PHI",1,0,1,0,0,0,0,0,0,0,-0.15062652843624236,-0.27652652877002837,0,-100,5224
"Total","Justin Turner","LAD",1022,0.094911937,0.125244618,0.7578125,0.295454545,0.382957884,0.469318181,0.852276065,0.173863636,0.309491059,164.9827288763362,40.325929716392146,0.3657937574996123,130.5262098504178,5235
"Total","Isaac Galloway","MIA",80,0.0375,0.3,0.125,0.181818181,0.2125,0.22077922,0.43327922,0.038961039,0.264150943,1.2988451203075004,-8.404154769543116,0.19231496676802634,17.45053736116636,5238
"Total","Wilmer Font","LAD",2,0,0,0,0,0,0,0,0,0,-0.27965485728460593,-0.5134548512764577,0,-100,5257
"Total","Francisco Cervelli","2 Tms",662,0.101208459,0.211480362,0.478571428,0.253097345,0.353566009,0.401769911,0.75533592,0.148672566,0.310843373,87.2589125920017,7.566113530464913,0.3321805579166673,106.53606909406625,5275
"Total","Tuffy Gosewisch","SEA",17,0.058823529,0.470588235,0.125,0.066666666,0.125,0.066666666,0.191666666,0,0.142857142,-1.1239344703943543,-3.196234464922648,0.09810392931103706,-49.73330473547005,5277
"Total","Kristopher Negron","3 Tms",75,0.053333333,0.306666666,0.173913043,0.253521126,0.293333333,0.323943661,0.617276994,0.070422535,0.361702127,6.192110617289381,-3.050389345159692,0.2697279659907023,65.34781153876037,5306
"Total","Chad Huffman","STL",9,0.111111111,0.444444444,0.25,0.25,0.333333333,0.25,0.583333333,0,0.5,0.7242993106580418,-0.37280068644517245,0.27181463109122384,65.96900672376952,5311
"Total","Michael Pineda","2 Tms",8,0,0.375,0,0.142857142,0.142857142,0.142857142,0.285714284,0,0.25,-0.21170642637864678,-1.2029064264263305,0.12523840154920304,-10.270845850616915,5372
"Total","Juan Lagares","NYM",416,0.060096153,0.213942307,0.280898876,0.244094488,0.297820823,0.354330708,0.652151531,0.11023622,0.302083333,37.41071251154347,-13.940687401886747,0.28142506217724506,75.32698933883742,5384
"Total","Juan Graterol","3 Tms",82,0.024390243,0.134146341,0.181818181,0.217948717,0.231707317,0.256410256,0.488117573,0.038461539,0.246376811,2.454299776913969,-7.575500191090258,0.21139119093011066,25.771435835741606,5398
"Total","Brad Peacock","HOU",4,0.25,0.5,0.5,0.333333333,0.5,0.333333333,0.833333333,0,1,0.7380781834364514,0.25547818740612066,0.39241571724414825,155.3500681963387,5401
"Total","Jake Smolinski","OAK",32,0.03125,0.28125,0.111111111,0.129032258,0.15625,0.193548387,0.349798387,0.064516129,0.181818181,-0.5725366280354978,-4.393336574820471,0.15314507856965065,-10.841136878238682,5408
"Total","Jose Altuve","HOU",1349,0.085248332,0.14158636,0.60209424,0.3215169,0.38410104,0.507831821,0.891932861,0.186314921,0.348979591,232.24674964861475,68.36865098939737,0.3790381037798084,142.85621506826604,5417
"Total","Pedro Baez","LAD",5,0,0.6,0,0,0,0,0,0,0,-0.7082117368843635,-1.297711724546202,0,-100,5420
"Total","Jesse Chavez","2 Tms",7,0,0.714285714,0,0.166666666,0.166666666,0.166666666,0.333333332,0,1,-0.29405873013849126,-1.1553587291967378,0.1449350118637085,-23.69936481304785,5448
"Total","Jose Pirela","2 Tms",575,0.059130434,0.210434782,0.280991735,0.255639097,0.304878048,0.375939849,0.680817897,0.120300752,0.315270935,58.35097911505841,-10.22651987225868,0.2956525519334481,83.77854146543274,5485
"Total","Austin Romine","NYY",557,0.057450628,0.236983842,0.242424242,0.249019607,0.294755877,0.376470588,0.671226465,0.127450981,0.302702702,53.88828284282657,-13.692016556966575,0.2893609473545771,78.74413999355916,5491
"Total","Marwin Gonzalez","HOU",3,0,0.333333333,0,0,0,0,0,0,0,-0.4194822859269089,-0.7701822769146867,0,-100,5497
