Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Jordan Zimmermann","DET",2,0,0.5,0,0,0,0,0,0,0,-0.2978040446303031,-0.5416040439865729,0,-100,4505
"Total","Jason Hammel","KCR",1,0,0,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,4538
"Total","Chris Smith","OAK",1,0,0,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,4544
"Total","Starlin Castro","2 Tms",445,0.071910112,0.17977528,0.4,0.312195121,0.359550561,0.473170731,0.832721292,0.16097561,0.359375,67.02052916809349,12.85902961566477,0.3524025434552275,122.44132450175586,4579
"Total","Russell Martin","2 Tms",234,0.153846153,0.235042735,0.654545454,0.197916666,0.339055793,0.328125,0.667180793,0.130208334,0.238461538,25.56051011021655,-2.7880896217055975,0.3042682731612046,89.0648397601829,4616
"Total","Brandon McCarthy","2 Tms",10,0,0.7,0,0.111111111,0.111111111,0.111111111,0.222222222,0,0.5,-0.71706502146787,-1.906065002155965,0.09772563642925686,-50.543441307686,4662
"Total","Charlie Morton","TBR",2,0,1,0,0,0,0,0,0,0,-0.3012530568724847,-0.5530530575400567,0,-100,4676
"Total","Chase Headley","2 Tms",177,0.04519774,0.214689265,0.210526315,0.245508982,0.282485875,0.383233532,0.665719407,0.13772455,0.293650793,16.371024373637052,-5.135275531841902,0.2855015376866874,75.41117570962514,4720
"Total","Matt Cain","SFG",12,0,0.666666666,0,0.083333333,0.083333333,0.166666666,0.249999999,0.083333333,0.25,-0.7470184755510947,-2.2098184716887137,0.1026806930700938,-44.277571640876324,4732
"Total","Felix Hernandez","SEA",1,0,1,0,0,0,0,0,0,0,-0.15062652843624236,-0.27652652877002837,0,-100,4772
"Total","Rymer Liriano","CHW",7,0.142857142,0.142857142,1,0.166666666,0.285714285,0.166666666,0.452380951,0,0.2,0.2822975228181482,-0.5710024749287963,0.22423755271094187,34.783937236676834,4779
"Total","Carlos Gomez","3 Tms",266,0.045112781,0.270676691,0.166666666,0.204347826,0.300751879,0.313043478,0.613795357,0.108695652,0.27388535,23.023735276181682,-8.815664285104292,0.2774633637496403,69.39275459347529,4881
"Total","Giancarlo Stanton","2 Tms",347,0.146974063,0.221902017,0.662337662,0.317406143,0.417867435,0.696245733,1.114113168,0.37883959,0.338624338,80.08663328361433,38.58933385085983,0.4507487428648182,187.8478351685878,4949
"Total","Ryan Hanigan","COL",36,0.111111111,0.138888888,0.8,0.466666666,0.514285714,0.733333333,1.247619047,0.266666667,0.5,10.070472621419345,5.682072633006488,0.5079346492010004,203.5816882330679,4952
"Total","Asdrubal Cabrera","4 Tms",443,0.085778781,0.151241534,0.567164179,0.298994974,0.354401805,0.422110552,0.776512357,0.123115578,0.332317073,60.11894124084647,6.39224173957045,0.3348544649022966,107.49588548806089,4962
"Total","Josh Donaldson","3 Tms",325,0.175384615,0.252307692,0.695121951,0.246212121,0.387692307,0.534090909,0.921783216,0.287878788,0.277777777,58.867152604223946,18.961652788283082,0.388187938430361,142.91255373666635,5038
"Total","Jefry Marte","LAA",203,0.083743842,0.206896551,0.404761904,0.205405405,0.27093596,0.372972972,0.643908932,0.167567567,0.220588235,17.789632122569138,-6.316067468769498,0.27940932165812976,74.81507493110026,5107
"Total","Wilkin Castillo","MIA",1,0,0,0,0,0,0,0,0,0,-0.15062652843624236,-0.27652652877002837,0,-100,5124
"Total","Justin Upton","2 Tms",365,0.106849315,0.276712328,0.386138613,0.24137931,0.328767123,0.473354231,0.802121354,0.231974921,0.287128712,51.000832466914,6.906332916154199,0.34015535358544235,114.88631242856715,5222
"Total","Cameron Maybin","5 Tms",380,0.089473684,0.189473684,0.472222222,0.249275362,0.315789473,0.347826086,0.663615559,0.098550724,0.303703703,37.04024268245815,-8.79875680500151,0.2900973299823741,81.48294218735855,5223
"Total","Justin Turner","LAD",496,0.120967741,0.141129032,0.857142857,0.332541567,0.425403225,0.62232779,1.047731015,0.289786223,0.344512195,108.1636111252783,47.71021155648212,0.4331872636820294,175.11633664189898,5235
"Total","Isaac Galloway","MIA",48,0.125,0.291666666,0.428571428,0.195121951,0.29787234,0.43902439,0.73689673,0.243902439,0.208333333,5.753084698416352,0.006884792544006757,0.3188327690388294,104.56840357828783,5238
"Total","Robbie Grossman","2 Tms",360,0.163888888,0.163888888,1,0.263333333,0.383333333,0.366666666,0.749999999,0.103333333,0.31512605,48.72063547535792,5.369635963579566,0.33714287396934295,111.12384784050963,5254
